Date,Max Temperature (°C),Min Temperature (°C),Mean Temperature (°C),Avg Relative Humidity (%),Avg Cloud Cover (%),Total Precipitation (mm),Max Wind Speed (m/s),Avg Wind Direction (°),Weather Code
2021-04-01,22.0,10.7,16.341666666666665,53.833333333333336,8.833333333333334,2.1,6.6,261.5833333333333,0.0
2021-04-02,21.8,10.0,16.45,49.041666666666664,9.041666666666666,0.9,6.9,228.375,0.0
2021-04-03,17.4,7.9,12.433333333333332,68.41666666666667,39.916666666666664,9.0,9.0,168.79166666666666,0.0
2021-04-04,12.0,6.9,9.116666666666667,86.0,75.0,3.1,7.6,168.33333333333334,3.0
2021-04-05,15.5,8.2,11.495833333333332,71.54166666666667,51.75,0.0,7.7,202.95833333333334,0.0
2021-04-06,10.8,2.2,7.55,40.041666666666664,20.0,0.0,15.0,257.7916666666667,0.0
2021-04-07,7.4,0.1,3.1,37.25,5.166666666666667,0.0,10.5,288.9166666666667,0.0
2021-04-08,11.4,-0.1,5.829166666666667,41.958333333333336,0.4166666666666667,0.0,8.4,219.5,0.0
2021-04-09,11.4,2.7,7.691666666666666,60.958333333333336,79.75,0.30000000000000004,10.0,191.16666666666666,3.0
2021-04-10,9.2,6.4,7.395833333333333,94.91666666666667,99.79166666666667,10.1,8.7,149.125,51.0
2021-04-11,8.8,5.3,7.0375000000000005,96.29166666666667,97.16666666666667,13.7,6.9,147.20833333333334,51.0
2021-04-12,10.8,4.7,7.9375,83.95833333333333,80.41666666666667,9.2,7.1,217.45833333333334,51.0
2021-04-13,12.6,3.6,7.875,47.125,17.75,0.0,10.2,218.91666666666666,0.0
2021-04-14,10.5,4.0,6.554166666666667,63.291666666666664,52.041666666666664,2.5,8.7,188.5,0.0
2021-04-15,7.0,1.1,3.8208333333333333,80.33333333333333,94.33333333333333,8.9,7.2,202.16666666666666,71.0
2021-04-16,5.6,0.1,3.2541666666666664,85.5,85.625,12.9,5.4,126.625,75.0
2021-04-17,10.0,1.1,5.883333333333333,61.666666666666664,57.666666666666664,0.0,5.8,208.08333333333334,3.0
