date,tmedia,tmax,tmin,tclasse,ptot,pclasse,vmedia,vraffica,settore_prevalente,tempo_permanenza,durata_calma,vclasse,umedia,umin,umax,uclasse,rtot,rclasse,hdd_base18,hdd_base20,cdd_base18
1991-02-18,,,,M000,,M0,,,,,,M00000,,,,M000,,,,,
1991-02-19,,,,M000,,M0,,,,,,M00000,,,,M000,,,,,
1991-02-20,,,,M000,,M0,,,,,,M00000,,,,M000,,,,,
1991-02-21,,,,M000,,M0,,,,,,M00000,,,,M000,,,,,
1991-02-22,3.7,10.5,-1.7,M000,0.0,MZ,,,,,,M00000,51.0,26.0,79.0,M000,,,13.6,15.6,0.0
1991-02-23,2.3,9.3,-3.4,M000,0.0,MZ,,,,,,M00000,54.0,22.0,83.0,M000,,,15.1,17.1,0.0
1991-02-24,3.8,12.0,-0.6,M000,0.0,MZ,,,,,,M00000,70.0,37.0,87.0,M000,,,12.3,14.3,0.0
1991-02-25,5.2,13.4,1.6,M000,0.0,MZ,,,,,,M00000,64.0,31.0,85.0,M000,,,10.5,12.5,0.0
1991-02-26,5.7,13.5,1.6,M000,0.0,MZ,,,,,,M00000,61.0,29.0,81.0,M000,,,10.5,12.5,0.0
1991-02-27,3.7,10.4,-1.4,M000,0.0,MZ,,,,,,M00000,76.0,43.0,93.0,M000,,,13.5,15.5,0.0
1991-02-28,1.9,3.9,-0.6,M000,0.6,MZ,,,,,,M00000,91.0,73.0,97.0,M000,,,16.4,18.4,0.0
1991-03-01,0.9,1.6,0.4,M000,2.6,MZ,,,,,,M00000,98.0,97.0,,M000,,,17.0,19.0,0.0
1991-03-02,2.9,6.6,0.5,M000,0.0,MZ,,,,,,M00000,93.0,73.0,,M000,,,14.5,16.5,0.0
1991-03-03,3.6,8.4,-0.4,M000,0.0,MZ,,,,,,M00000,86.0,65.0,97.0,M000,,,14.0,16.0,0.0
1991-03-04,4.9,7.7,2.4,M000,0.0,MZ,,,,,,M00000,89.0,73.0,97.0,M000,,,13.0,15.0,0.0
1991-03-05,4.6,7.8,2.7,M000,1.0,MZ,,,,,,M00000,92.0,70.0,98.0,M000,,,12.8,14.8,0.0
1991-03-06,3.4,4.3,,M000,9.0,MZ,,,,,,M00000,97.0,95.0,98.0,M000,,,,,
1991-03-07,2.9,3.6,2.0,M000,10.0,MZ,,,,,,M00000,97.0,96.0,98.0,M000,,,15.2,17.2,0.0
1991-03-08,4.6,5.7,3.5,M000,36.2,MZ,,,,,,M00000,98.0,97.0,98.0,M000,,,13.4,15.4,0.0
1991-03-09,4.2,7.3,-0.1,M000,21.0,MZ,,,,,,M00000,94.0,77.0,98.0,M000,,,14.4,16.4,0.0
1991-03-10,4.6,13.8,-1.0,M000,0.0,MZ,,,,,,M00000,71.0,27.0,,M000,,,11.6,13.6,0.0
1991-03-11,6.1,13.0,0.1,M000,0.0,MZ,,,,,,M00000,69.0,41.0,95.0,M000,,,11.5,13.5,0.0
1991-03-12,4.9,8.4,0.5,M000,3.8,MZ,,,,,,M00000,87.0,68.0,97.0,M000,,,13.6,15.6,0.0
1991-03-13,4.6,11.8,-1.2,M000,0.0,MZ,,,,,,M00000,76.0,42.0,96.0,M000,,,12.7,14.7,0.0
1991-03-14,5.7,12.1,0.0,M000,0.0,MZ,,,,,,M00000,72.0,40.0,89.0,M000,,,12.0,14.0,0.0
1991-03-15,5.1,10.4,0.5,M000,0.0,MZ,,,,,,M00000,73.0,46.0,91.0,M000,,,12.6,14.6,0.0
1991-03-16,4.6,12.7,-0.3,M000,0.0,MZ,,,,,,M00000,64.0,31.0,87.0,M000,,,11.8,13.8,0.0
1991-03-17,3.9,8.4,-0.9,M000,0.0,MZ,,,,,,M00000,72.0,46.0,89.0,M000,,,14.3,16.3,0.0
1991-03-18,7.1,13.9,2.1,M000,0.0,MZ,,,,,,M00000,58.0,25.0,89.0,M000,,,10.0,12.0,0.0
1991-03-19,7.9,14.0,1.3,M000,0.0,MZ,,,,,,M00000,49.0,24.0,68.0,M000,,,10.4,12.4,0.0
1991-03-20,10.0,19.6,4.3,M000,0.0,MZ,,,,,,M00000,59.0,23.0,80.0,M000,,,6.1,8.1,0.0
1991-03-21,5.9,8.9,2.7,M000,0.0,MZ,,,,,,M00000,80.0,61.0,95.0,M000,,,12.2,14.2,0.0
1991-03-22,5.3,8.4,2.2,M000,5.2,MZ,2.2,11.7,NE,380.0,190.0,M00000,87.0,59.0,98.0,M000,,,12.7,14.7,0.0
1991-03-23,3.9,6.9,1.5,M000,2.8,MZ,2.1,8.0,ENE,400.0,540.0,M00000,84.0,57.0,97.0,M000,,,13.8,15.8,0.0
1991-03-24,5.6,6.8,3.7,M000,40.0,MZ,3.4,9.3,NE,800.0,70.0,M00000,97.0,95.0,98.0,M000,,,12.8,14.8,0.0
1991-03-25,5.7,9.7,2.7,M000,29.0,MZ,2.3,12.1,ENE,430.0,330.0,M00000,92.0,67.0,98.0,M000,,,11.8,13.8,0.0
1991-03-26,5.3,9.2,2.6,M000,0.2,MZ,1.9,9.6,NE,510.0,880.0,M00000,87.0,63.0,99.0,M000,,,12.1,14.1,0.0
1991-03-27,5.5,12.1,0.6,M000,0.0,MZ,1.0,8.4,NE,250.0,1020.0,M*****,76.0,36.0,94.0,M000,,,11.7,13.7,0.0
1991-03-28,2.9,7.3,0.6,M***,0.0,MZ,,,,,,M00000,86.0,70.0,95.0,M***,,,14.1,16.1,0.0
1991-03-29,0.5,3.8,-1.6,M***,0.0,MZ,,,,,,M00000,84.0,58.0,96.0,M***,,,16.9,18.9,0.0
1991-03-30,2.0,8.4,-2.5,M000,0.0,MZ,,,,,,M00000,69.0,44.0,94.0,M000,,,15.1,17.1,0.0
1991-03-31,3.2,,-2.2,M000,,M0,,,,,,M00000,78.0,,96.0,M000,,,,,
1991-04-01,4.0,12.0,-2.7,M000,,M0,,,,,,M00000,78.0,43.0,96.0,M000,,,13.4,15.4,0.0
